date,start,end,type,duration,duration_unit,source
2019-10-21,2019-10-21 17:44:02 -0500,2019-10-21 17:59:15 -0500,Dance,15.2044685502847,min,Steven’s Apple Watch
2019-10-22,2019-10-22 09:30:15 -0500,2019-10-22 10:12:38 -0500,Dance,42.38544964989026,min,Steven’s Apple Watch
2019-10-23,2019-10-23 14:43:10 -0500,2019-10-23 15:28:11 -0500,Dance,45.01740333239238,min,Steven’s Apple Watch
2019-10-24,2019-10-24 18:04:40 -0500,2019-10-24 18:53:05 -0500,Dance,48.42750543355942,min,Steven’s Apple Watch
2019-10-25,2019-10-25 11:04:15 -0500,2019-10-25 11:48:34 -0500,Dance,44.31636853218079,min,Steven’s Apple Watch
2019-10-29,2019-10-29 13:49:37 -0500,2019-10-29 14:23:38 -0500,Dance,34.01590956648191,min,Steven’s Apple Watch
2019-10-30,2019-10-30 12:32:44 -0500,2019-10-30 13:15:52 -0500,Dance,43.13959318399429,min,Steven’s Apple Watch
2019-10-31,2019-10-31 10:47:07 -0500,2019-10-31 11:34:02 -0500,Dance,46.93020503322283,min,Steven’s Apple Watch
2019-11-01,2019-11-01 09:20:52 -0500,2019-11-01 09:55:43 -0500,Dance,34.85488186677297,min,Steven’s Apple Watch
2019-11-03,2019-11-03 11:04:00 -0500,2019-11-03 11:48:01 -0500,Dance,44.01775041818619,min,Steven’s Apple Watch
2019-11-04,2019-11-04 12:36:36 -0500,2019-11-04 13:11:22 -0500,Dance,34.76754091580709,min,Steven’s Apple Watch
2019-11-04,2019-11-04 13:12:10 -0500,2019-11-04 13:17:55 -0500,Dance,5.747297348578771,min,Steven’s Apple Watch
2019-11-06,2019-11-06 11:05:34 -0500,2019-11-06 11:54:48 -0500,Dance,49.23380446632703,min,Steven’s Apple Watch
2019-11-07,2019-11-07 09:33:32 -0500,2019-11-07 10:30:18 -0500,Dance,56.77397698362668,min,Steven’s Apple Watch
2019-11-11,2019-11-11 09:35:24 -0500,2019-11-11 10:32:45 -0500,Dance,57.35018795132637,min,Steven’s Apple Watch
2019-11-13,2019-11-13 13:51:10 -0500,2019-11-13 14:24:42 -0500,Dance,33.52288498481115,min,Steven’s Apple Watch
2019-11-14,2019-11-14 11:11:29 -0500,2019-11-14 11:52:45 -0500,Dance,41.26802441676458,min,Steven’s Apple Watch
2019-11-15,2019-11-15 20:52:34 -0500,2019-11-15 21:09:35 -0500,Walking,17.01401679913203,min,Steven’s Apple Watch
2019-11-16,2019-11-16 10:28:16 -0500,2019-11-16 11:16:45 -0500,Dance,48.48963363369306,min,Steven’s Apple Watch
2019-11-17,2019-11-17 12:44:23 -0500,2019-11-17 13:49:50 -0500,Dance,47.55623964866002,min,Steven’s Apple Watch
2019-11-18,2019-11-18 08:58:51 -0500,2019-11-18 09:57:42 -0500,Dance,58.85417225162188,min,Steven’s Apple Watch
2019-11-19,2019-11-19 13:22:29 -0500,2019-11-19 14:00:26 -0500,Dance,37.96407496730487,min,Steven’s Apple Watch
2019-11-20,2019-11-20 14:34:57 -0500,2019-11-20 15:32:05 -0500,Dance,57.14837583303451,min,Steven’s Apple Watch
2019-11-21,2019-11-21 12:43:01 -0500,2019-11-21 13:27:24 -0500,Dance,44.38271216551463,min,Steven’s Apple Watch
